song id, 歌曲名, 艺术家
1419383928,Interlace,Bendel/acloudyskye
34516282,Atlantis,Au5
1389911993,Overcome,Synymata/Q'AILA
1437148285,Ride Or Die,Antent/Maltex/Dimentros
1302090474,Ghosts,Abandoned/Soar
513357760,An Angel's Acrimony,Animadrop
1365157897,The Darkness,Xilent
1382939632,Part-Time Lover (Crystal Skies Remix),Dabin/Crystal Skies/Claire Ridgely
1401180145,Never Change (feat. Gallie Fisher),Crystal Skies/Gallie Fisher
1418092940,Butterflies (feat. Dia Frampton),William Black/Fairlane/Dia Frampton
558560424,Phantom,Nardis
31452186,Again (Skyvoice Cover/Remix),Skyvoice/no-no
468517895,Soulwind,Lockyn/Aztech
1382942101,Alive (Trivecta Remix),Dabin/Trivecta/RUNN
